ZipCode,City,State,Latitude,Longitude,Classification,Population
"00501","HOLTSVILLE","NY","40.8179","-73.0453","U","0"
"00544","HOLTSVILLE","NY","40.7888","-73.0394","U","0"
"00601","ADJUNTAS","PR","18.1967","-66.7367","","18570"
"00602","AGUADA","PR","18.3529","-67.1775","","41520"
"00603","AGUADILLA","PR","18.4586","-67.1299","","54689"
"00604","AGUADILLA","PR","18.4888","-67.1477","P","0"
"00605","AGUADILLA","PR","18.4289","-67.1538","P","0"
"00606","MARICAO","PR","18.1667","-66.9392","","6615"
"00610","ANASCO","PR","18.2946","-67.1300","","29016"
"00611","ANGELES","PR","18.2856","-66.9698","P","0"
"00612","ARECIBO","PR","18.3880","-66.6653","","67010"
"00613","ARECIBO","PR","18.4744","-66.7163","P","0"
"00614","ARECIBO","PR","18.4744","-66.7163","P","0"
"00616","BAJADERO","PR","18.4055","-66.6712","","11017"
"00617","BARCELONETA","PR","18.4298","-66.5581","","24597"
"00622","BOQUERON","PR","17.9929","-67.1537","","7853"
"00623","CABO ROJO","PR","18.0402","-67.1466","","43061"
"00624","PENUELAS","PR","18.0728","-66.7248","","26241"
"00627","CAMUY","PR","18.4252","-66.8678","","35159"
"00631","CASTANER","PR","18.2246","-66.8678","P","1852"
"00636","ROSARIO","PR","18.1647","-67.0797","P","0"
"00637","SABANA GRANDE","PR","18.0776","-66.9392","","25287"
"00638","CIALES","PR","18.2997","-66.4986","","18941"
"00641","UTUADO","PR","18.2797","-66.6891","","31191"
"00646","DORADO","PR","18.4591","-66.2724","","38199"
"00647","ENSENADA","PR","17.9725","-66.9452","","6172"
"00650","FLORIDA","PR","18.3630","-66.5581","","14998"
"00652","GARROCHALES","PR","18.4519","-66.5998","","4715"
"00653","GUANICA","PR","17.9825","-66.8916","","13307"
"00656","GUAYANILLA","PR","18.0373","-66.7963","","21481"
"00659","HATILLO","PR","18.4160","-66.7963","","41953"
"00660","HORMIGUEROS","PR","18.1382","-67.1120","","17250"
"00662","ISABELA","PR","18.4561","-67.0226","","43282"
"00664","JAYUYA","PR","18.2103","-66.5819","","16784"
"00667","LAJAS","PR","18.0100","-67.0226","","25968"
"00669","LARES","PR","18.2914","-66.8678","","29744"
"00670","LAS MARIAS","PR","18.2396","-66.9869","","9807"
"00674","MANATI","PR","18.4332","-66.4986","","44457"
"00676","MOCA","PR","18.3856","-67.0822","","40316"
"00677","RINCON","PR","18.3317","-67.2312","","15272"
"00678","QUEBRADILLAS","PR","18.4313","-66.9154","","27819"
"00680","MAYAGUEZ","PR","18.2100","-67.1060","","58140"
"00681","MAYAGUEZ","PR","18.1211","-67.0824","P","0"
"00682","MAYAGUEZ","PR","18.2208","-67.1477","","32615"
"00683","SAN GERMAN","PR","18.0992","-67.0226","","33772"
"00685","SAN SEBASTIAN","PR","18.3162","-66.9750","","42831"
"00687","MOROVIS","PR","18.3222","-66.4152","","32610"
"00688","SABANA HOYOS","PR","18.3500","-66.6296","","13543"
"00690","SAN ANTONIO","PR","18.5019","-67.0971","","6255"
"00692","VEGA ALTA","PR","18.4018","-66.3438","","37511"
"00693","VEGA BAJA","PR","18.4207","-66.4033","","61038"
"00694","VEGA BAJA","PR","18.4465","-66.3884","P","328"
"00698","YAUCO","PR","18.0909","-66.8678","","41782"
"00703","AGUAS BUENAS","PR","18.2626","-66.1296","","28605"
"00704","AGUIRRE","PR","17.9802","-66.2189","","8577"
"00705","AIBONITO","PR","18.1354","-66.2605","","25598"
"00707","MAUNABO","PR","18.0127","-65.9155","","12225"
"00714","ARROYO","PR","17.9871","-66.0582","","19566"
"00715","MERCEDITA","PR","18.0071","-66.5581","","3656"
"00716","PONCE","PR","17.9877","-66.6236","","33779"
"00717","PONCE","PR","18.0004","-66.6147","","18457"
"00718","NAGUABO","PR","18.2501","-65.7847","","26606"
"00719","NARANJITO","PR","18.2782","-66.2486","","30990"
"00720","OROCOVIS","PR","18.2045","-66.4510","","23129"
"00721","PALMER","PR","18.3018","-66.0800","P","0"
"00723","PATILLAS","PR","18.0252","-66.0107","","19277"
"00725","CAGUAS","PR","18.2056","-66.0345","","89374"
"00726","CAGUAS","PR","18.2364","-66.0489","P","0"
"00727","CAGUAS","PR","18.2167","-66.0553","","58382"
"00728","PONCE","PR","18.0192","-66.6534","","44908"
"00729","CANOVANAS","PR","18.3419","-65.8917","","53750"
"00730","PONCE","PR","18.0321","-66.6236","","35742"
"00731","PONCE","PR","18.0956","-66.6415","","15524"
"00732","PONCE","PR","18.0133","-66.6146","P","0"
"00733","PONCE","PR","18.0133","-66.6146","P","0"
"00734","PONCE","PR","18.0133","-66.6146","P","0"
"00735","CEIBA","PR","18.2436","-65.6540","","13730"
"00736","CAYEY","PR","18.0786","-66.1653","","51532"
"00737","CAYEY","PR","18.1138","-66.1667","P","0"
"00738","FAJARDO","PR","18.3100","-65.6540","","34922"
"00739","CIDRA","PR","18.1769","-66.1534","","39678"
"00740","PUERTO REAL","PR","18.3384","-65.6338","","2071"
